"employee_id","has_relevant_field","highest_edu","last_edu_year","degreeNumber"
"t_10643",0,"bachelor",2004,2
"t_10644",0,"master",1999,1
"t_10645",0,"bachelor",2015,1
"t_10646",0,"master",2016,1
"t_10647",1,"bachelor",2017,2
"t_10648",0,"phd",2013,3
"t_10649",1,"master",2018,2
"t_1065",1,"master",2020,2
"t_10650",0,"phd",2016,3
"t_10651",0,"bachelor",2019,1
"t_10652",0,"master",2021,2
"t_10653",0,"master",2015,2
"t_10654",0,"master",2015,1
"t_10655",1,"phd",2016,2
"t_10656",0,"master",2002,2
"t_10657",0,"phd",2017,4
"t_10658",1,"bachelor",2020,2
"t_1066",1,"master",2022,2
"t_10660",0,"bachelor",2019,1
"t_10661",0,"master",2020,1
"t_10662",0,"master",2016,2
"t_10663",1,"bachelor",1998,2
"t_10664",1,"master",2022,2
"t_10665",0,"phd",2012,3
"t_10666",1,"bachelor",2007,1
"t_10667",0,"master",2022,2
"t_10668",1,"phd",-1,2
"t_10669",0,"bachelor",2012,2
"t_1067",1,"phd",2020,3
"t_10670",0,"bachelor",2017,1
"t_10671",1,"phd",2021,3
"t_10672",0,"master",2019,2
"t_10673",0,"master",2020,3
"t_10674",1,"master",2021,2
"t_10675",1,"bachelor",2017,2
"t_10676",0,"master",2013,3
"t_10677",0,"phd",2012,3
"t_10678",0,"master",2013,3
"t_10679",0,"master",2022,2
"t_1068",1,"master",2017,2
"t_10680",1,"bachelor",2019,1
"t_10681",0,"master",2016,2
"t_10682",0,"master",2022,2
"t_10683",0,"bachelor",2020,1
"t_10685",1,"phd",2014,3
"t_10686",1,"master",2011,3
"t_10687",1,"phd",2003,3
"t_10689",1,"master",2011,1
"t_1069",0,"phd",2016,2
"t_10690",1,"bachelor",2020,1
"t_10691",1,"master",2014,2
"t_10692",0,"master",2018,3
"t_10693",0,"bachelor",2022,1
"t_10694",1,"master",-1,3
"t_10695",1,"bachelor",2017,2
"t_10696",0,"master",2012,1
"t_10697",0,"master",2022,2
"t_10698",0,"phd",2015,3
"t_10699",1,"bachelor",2019,1
"t_107",1,"master",2018,2
"t_1070",0,"bachelor",2021,2
"t_10700",0,"master",2019,2
"t_10701",1,"master",2019,2
"t_10702",0,"master",1996,1
"t_10703",0,"master",2022,2
"t_10704",1,"master",2017,2
"t_10705",0,"master",2022,2
"t_10706",1,"bachelor",2016,1
"t_10707",0,"master",2015,2
"t_10708",0,"bachelor",2016,1
"t_10709",1,"master",2021,2
"t_1071",1,"master",2021,2
"t_10710",0,"master",2012,3
"t_10711",1,"master",2019,2
"t_10712",1,"bachelor",2021,3
"t_10714",1,"master",2022,2
"t_10715",0,"master",2022,2
"t_10717",0,"master",2017,2
"t_10718",1,"phd",2017,3
"t_10719",1,"master",2022,1
"t_1072",1,"phd",2016,2
"t_10720",0,"master",2020,1
"t_10721",0,"bachelor",2022,1
"t_10722",0,"master",2013,2
"t_10723",1,"master",2012,2
"t_10724",0,"master",2021,2
"t_10725",0,"bachelor",2019,1
"t_10726",1,"phd",2022,3
"t_10727",0,"master",2020,2
"t_10728",1,"bachelor",2019,1
"t_10729",1,"master",2011,2
"t_1073",1,"master",2021,2
"t_10730",0,"master",2020,2
"t_10731",0,"bachelor",2022,1
"t_10732",1,"bachelor",2020,1
"t_10733",0,"master",2019,2
