,company
1621,2470193
1622,2470193
1623,7008394
1624,17947
1625,134444
1626,2802577
1627,35192
1628,5000762
1629,409757
1630,26195
1631,18196973
1632,832837
1633,17908204
1634,17908204
1635,20448
1636,20448
1637,83510
1638,10574
1639,17908204
1640,10489046
1641,166698
1642,18326507
1643,13246967
1644,876872
1645,2756754
1646,2756754
1647,2756754
1648,570870
1649,1564852
1650,570870
1651,17981967
1652,16809
1653,39604
1654,3521203
1655,3521203
1656,1324456
1657,11486158
1658,10913393
1659,10913393
1660,10913393
1661,1884851
1662,14287
1663,13206016
1664,30237122
1665,2571368
1666,578066
1667,10700
1668,3496049
1669,107435
1670,30734593
1671,30734593
1672,30734593
1673,4997
1674,1569596
1675,379673
1676,4815
1677,3140397
1678,13249
1679,24417330
1680,76695337
1681,76695337
1682,3316450
1683,17908204
1684,2515234
1685,2515234
1686,3316450
1687,1543995
1688,87822
1689,245215
1690,4160
1691,69675866
1692,2966982
1693,2966982
1694,2525119
1695,164365
1696,402261
1697,2737
1698,97190
1699,17908204
1700,17947
1701,15961
1702,69516441
1703,69516441
1704,283218
1705,5046700
1706,24778074
1707,18196973
1708,22294027
1709,3147
1710,74137
1711,74137
1712,4815
1713,18196973
1714,1870330
1715,285447
1716,20558874
1717,3659
1718,28423178
1719,28423178
1720,120717
1721,9277885
1722,4997
1723,1459520
1724,164520
1725,2415394
1726,2415394
1727,13845
1728,18892058
1729,4160
1730,15157412
1731,125113
1732,18196973
1733,10317047
1734,17993533
1735,27147431
1736,5319875
1737,1591463
1738,2159946
1739,2159946
1740,11521185
1741,633973
1742,5229519
1743,17947
1744,27314
1745,26195
1746,9905
1747,1523089
1748,5050421
1749,15342
1750,15101896
1751,166637
1752,11486158
1753,11486158
1754,11486158
1755,18196973
1756,18196973
1757,1523089
1758,1523089
1759,1523089
1760,10574
1761,10574
1762,10574
1763,9484417
1764,10180429
1765,10180429
1766,6621687
1767,263909
1768,4160
1769,51785603
1770,1248697
1771,747828
1772,27185
1773,2177191
1774,14814665
1775,19225151
1776,18892058
1777,1523089
1778,1523089
1779,5050421
1780,727943
1781,13488
1782,13488
1783,25288
1784,12218
1785,5382086
1786,1705237
1787,167034
1788,29870
1789,29870
1790,69675866
1791,4815
1792,372663
1793,2417401
1794,164365
1795,128858
1796,18104512
1797,10940184
1798,10940184
1799,11695360
1800,631065
1801,4160
1802,655599
1803,2579
1804,5024262
1805,2836072
1806,31903
1807,1413623
1808,14758
1809,14758
1810,14758
1811,64937
1812,2446860
