"employee_id","promote_level_1","promote_level_2","time_work","promote_general","intern","num_job","num_company"
"t_786",0,0,2603,0,0,4,3
"t_787",0,0,563,0,0,1,1
"t_788",0,0,NA,0,0,4,4
"t_789",0,0,3365,0,0,3,2
"t_790",0,0,2177,0,0,1,1
"t_791",1,1,2146,1,0,3,2
"t_792",0,0,1934,0,0,3,3
"t_793",0,0,NA,0,0,4,4
"t_794",0,0,198,0,1,1,1
"t_795",0,0,1826,0,0,1,1
"t_796",0,0,1781,0,0,3,3
"t_797",1,1,4216,1,0,3,2
"t_798",0,0,1751,0,0,3,2
"t_799",1,0,1934,1,0,3,2
"t_800",1,1,3120,1,0,4,3
"t_801",0,0,685,0,0,2,2
"t_802",0,0,1600,0,0,1,1
